deal_website_name,cancellation_year,grid_name,grid
Alfred-Wegener-Institut – Helmholtz-Zentrum fuer Polar- und Meeresforschung (AWI),2017,Alfred Wegener Institute for Polar and Marine Research,grid.10894.34
Bernhard-Nocht-Institut fuer Tropenmedizin,2017,Bernhard Nocht Institute for Tropical Medicine,grid.424065.1
Deutsches Elektronen-Synchrotron DESY,2017,Deutsches Elektronen-Synchrotron DESY,grid.7683.a
Deutsches Krebsforschungszentrum (DKFZ),2017,German Cancer Research Center,grid.7497.d
Deutsches Rheuma-Forschungszentrum (DRFZ) Berlin,2017,German Rheumatism Research Centre,grid.418217.9
Deutsches Zentrum fuer Luft- und Raumfahrt e.V. (DLR),2017,German Aerospace Center,grid.7551.6
Deutsches Zentrum fuer Neurodegenerative Erkrankungen e. V. (DZNE) Bonn,2017,German Center for Neurodegenerative Diseases,grid.424247.3
Helmholtz-Zentrum Berlin (HZB),2017,Helmholtz-Zentrum Berlin,grid.424048.e
Helmholtz-Zentrum Dresden-Rossendorf (HZDR),2017,Helmholtz-Zentrum Dresden-Rossendorf,grid.40602.30
Helmholtz-Zentrum Geesthacht – Zentrum fuer Material- und Kuestenforschung (HZG),2017,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,grid.24999.3f
Helmholtz-Zentrum fuer Infektionsforschung,2017,Helmholtz Centre for Infection Research,grid.7490.a
Helmholtz-Zentrum Muenchen – Deutsches Forschungszentrum fuer Gesundheit und Umwelt,2017,Helmholtz Zentrum Muenchen,grid.4567.0
Helmholtz-Zentrum fuer Ozeanforschung Kiel (GEOMAR),2017,GEOMAR Helmholtz Centre for Ocean Research Kiel,grid.15649.3f
Helmholtz-Zentrum Potsdam – Deutsches GeoForschungsZentrum GFZ,2017,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,grid.23731.34
GSI Helmholtzzentrum fuer Schwerionenforschung GmbH Darmstadt,2017,GSI Helmholtz Centre for Heavy Ion Research,grid.159791.2
Helmholtz-Zentrum fuer Umweltforschung (UFZ),2017,Helmholtz Centre for Environmental Research,grid.7492.8
Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,2017,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,grid.420081.f
Leibniz-Institut fuer Troposphaerenforschung e. V. (TROPOS) Leipzig,2017,Leibniz Institute for Tropospheric Research,grid.424885.7
Leibniz-Zentrum Allgemeine Sprachwissenschaft (ZAS),2017,Zentrum fuer Allgemeine Sprachwissenschaft,grid.473828.2
Max-Delbrueck-Centrum fuer Molekulare Medizin (MDC),2017,Max Delbrueck Center for Molecular Medicine,grid.419491.0
"Museum fuer Naturkunde, Leibniz-Institut fuer Evolutions- und Biodiversitaetsforschung",2017,Leibniz-Institut fuer Evolutions- und Biodiversitaetsforschung Museum fuer Naturkunde,grid.422371.1
Robert Koch-Institut (RKI),2017,Robert Koch Institute,grid.13652.33
Zentrum fuer Europaeische Wirtschaftsforschung GmbH (ZEW),2017,Centre For European Economic Research,grid.13414.33
Uni Bonn,2018,University of Bonn,grid.10388.32
TU Chemnitz,2018,Chemnitz University of Technology,grid.6810.f
TU Dresden,2018,TU Dresden,grid.4488.0
Uni Duisburg-Essen,2018,University of Duisburg-Essen,grid.5718.b
TU Freiberg,2018,Freiberg University of Mining And Technology,grid.6862.a
TU Hamburg-Harburg,2018,Hamburg University of Technology,grid.6884.2
Uni Leipzig,2018,Leipzig University,grid.9647.c
Uni Paderborn,2018,University of Paderborn,grid.5659.f
EH Dresden,2018,Evangelische Hochschule Dresden,grid.466406.6
HfBK Dresden,2018,Dresden Academy of Fine Arts,grid.462289.3
HfM Dresden,2018,Carl Maria von Weber College of Music,grid.461657.7
HTW Dresden,2018,Dresden University of Applied Sciences,grid.434947.9
HGB Leipzig,2018,Hochschule fuer Grafik und Buchkunst Leipzig,grid.462294.f
HMT Leipzig,2018,University of Music and Theatre Leipzig,grid.449986.e
HTWK Leipzig,2018,Leipzig University of Applied Sciences,grid.448945.0
HS Mittweida,2018,Hochschule Mittweida,grid.452873.f
FH Muenster,2018,Muenster University of Applied Sciences,grid.440964.b
HTW Saarland,2018,Hochschule fuer Technik und Wirtschaft des Saarlandes,grid.424705.0
HS Zittau/Goerlitz,2018,Zittau/Goerlitz University of Applied Sciences,grid.440523.4
Westsaechsische Hochschule Zwickau,2018,Westsaechsische Hochschule Zwickau,grid.466393.d
Forschungszentrum Juelich (FZJ),2018,Forschungszentrum Juelich,grid.8385.6
Wissenschaftszentrum Berlin fuer Sozialforschung (WZB),2018,Social Science Research Center Berlin,grid.13388.31
Bundesanstalt fuer Materialforschung und -pruefung (BAM),2018,Bundesanstalt fuer Materialforschung und -pruefung,grid.71566.33
Saechsische Landesbibliothek – Staats- und Universitaetsbibliothek Dresden (SLUB),2018,Saxon State and University Library Dresden,grid.449614.a
Fraunhofer-Gesellschaft (FhG),2018,Frauenhofer Society,grid.4561.6
,2018,Fraunhofer Austria,grid.469832.2
,2018,Fraunhofer Center for International Management and Knowledge Economy,grid.462230.1
,2018,Fraunhofer Center for Maritime Logistics and Services,grid.469859.f
