article_pubyear,publisher,institution_name,n_items
2014,Non-Elsevier,Catholic University of Eichstätt-Ingolstadt,16
2019,Elsevier,Max Planck Institute for Evolutionary Anthropology,36
2012,Elsevier,"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",5
2018,Non-Elsevier,Max Planck Institute of Immunobiology and Epigenetics,38
2018,Elsevier,Deutsches Elektronen-Synchrotron DESY,35
2019,Non-Elsevier,Max Planck Institute for Infection Biology,24
2019,Elsevier,"Bauhaus University, Weimar",22
2012,Elsevier,University of Konstanz,76
2012,Elsevier,Max Planck Institute for Developmental Biology,15
2019,Non-Elsevier,Hamburg University of Applied Sciences,38
2020,Non-Elsevier,Fraunhofer Institute for Silicate Research,18
2014,Elsevier,Centre For European Economic Research,10
2013,Elsevier,Max Planck Research Unit for Enzymology of Protein Folding,3
2016,Non-Elsevier,Fraunhofer Institute for Mechanics of Materials,17
2019,Non-Elsevier,Fraunhofer Institute for Microengineering and Microsystems,5
2012,Elsevier,Max Planck Institute of Biochemistry,39
2016,Elsevier,Max Planck Institute for Developmental Biology,11
2012,Non-Elsevier,Centre For European Economic Research,23
2013,Elsevier,Esslingen University of Applied Sciences,6
2015,Non-Elsevier,Heidelberg University of Education,9
2012,Elsevier,Max Planck Institute of Experimental Medicine,9
2020,Elsevier,Leibniz Institute for Solid State and Materials Research,34
2018,Elsevier,Hochschule Mittweida,2
2014,Non-Elsevier,HHL Leipzig Graduate School of Management,7
2015,Non-Elsevier,Fraunhofer Institute for Applied Polymer Research,17
2017,Elsevier,Leibniz Research Centre for Working Environment and Human Factors,16
2019,Non-Elsevier,Heilbronn University,8
2018,Non-Elsevier,Fraunhofer Institute for Machine Tools and Forming Technology,29
2012,Non-Elsevier,Leibniz Institute of Agricultural Development in Transition Economies,11
2017,Non-Elsevier,Technische Hochschule Ingolstadt,4
2020,Elsevier,Max Planck Institute of Biochemistry,24
2018,Elsevier,"Fraunhofer Research Institution for Casting, Composite and Processing Technology",18
2013,Elsevier,FH Aachen,10
2012,Non-Elsevier,Max Planck Institute of Immunobiology and Epigenetics,23
2020,Non-Elsevier,Max Planck Institute for Infection Biology,15
2019,Non-Elsevier,University of Applied Sciences Würzburg-Schweinfurt,12
2015,Non-Elsevier,Fraunhofer Institute for Silicon Technology,6
2020,Elsevier,Max Planck Institute for Developmental Biology,17
2012,Elsevier,Max Planck Institute for Chemical Ecology,17
2020,Elsevier,Georg Simon Ohm University of Applied Sciences Nuremberg,5
2012,Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,47
2018,Elsevier,Leibniz Institute for Tropospheric Research,7
2017,Elsevier,Institute of Plant Genetics and Crop Plant Research,8
2018,Non-Elsevier,Max Planck Institute for Biogeochemistry,64
2012,Elsevier,Max Planck Institute for Solid State Research,21
2019,Elsevier,Max Planck Institute for Coal Research,7
2012,Non-Elsevier,Catholic University of Eichstätt-Ingolstadt,14
2014,Non-Elsevier,Fachhochschule Bielefeld,5
2014,Elsevier,Max Planck Institute for Infection Biology,12
2013,Elsevier,Bundeswehr University Munich,16
2018,Non-Elsevier,FH Aachen,26
2020,Elsevier,Alfred Wegener Institute for Polar and Marine Research,43
2020,Non-Elsevier,Max Planck Institute of Quantum Optics,56
2020,Non-Elsevier,Fraunhofer Singapore,1
2015,Non-Elsevier,Münster University of Applied Sciences,22
2016,Elsevier,Max Planck Institute for Dynamics and Self Organization,3
2015,Elsevier,Max Planck Institute for Solid State Research,20
2019,Non-Elsevier,Fraunhofer Institute for Photonic Microsystems,11
2016,Non-Elsevier,Max Planck Institute of Neurobiology,21
2017,Elsevier,Max Planck Institute for Biology of Ageing,6
2020,Elsevier,Fraunhofer Institute for Microstructure of Materials and Systems,15
2015,Elsevier,Hochschule Mittweida,7
2015,Non-Elsevier,Fraunhofer Institute for Digital Medicine,14
2012,Non-Elsevier,Fraunhofer Institute for Systems and Innovation Research,14
2016,Elsevier,Max Planck Institute of Molecular Physiology,12
2016,Elsevier,Fraunhofer Institute for Mechanics of Materials,22
2019,Elsevier,Leibniz Institute for Analytical Sciences - ISAS,7
2019,Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,4
2015,Elsevier,Catholic University of Eichstätt-Ingolstadt,9
2017,Non-Elsevier,Munich University of Applied Sciences,14
2015,Non-Elsevier,Fraunhofer Institute for Silicate Research,15
2015,Non-Elsevier,Regensburg University of Applied Sciences,7
2017,Non-Elsevier,Pforzheim University of Applied Sciences,9
2013,Elsevier,Fraunhofer Institute for Computer Graphics Research,5
2018,Elsevier,Max Planck Institute for Ornithology,7
2020,Elsevier,Max Planck Institute for Coal Research,5
2016,Non-Elsevier,Institute for the German Language,5
2014,Elsevier,Max Planck Institute for Heart and Lung Research,6
2019,Non-Elsevier,University of Education Freiburg,25
2019,Elsevier,Leibniz Institute of Polymer Research,28
2015,Elsevier,Deutsches Elektronen-Synchrotron DESY,37
2017,Elsevier,Max Planck Institute for Polymer Research,26
2020,Elsevier,Max Planck Institute of Molecular Cell Biology and Genetics,22
2014,Non-Elsevier,Fraunhofer Institute for Industrial Mathematics,23
2019,Non-Elsevier,Leibniz Institute of Ecological Urban and Regional Development,13
2020,Elsevier,Technische Hochschule Ingolstadt,10
2015,Elsevier,Max Planck Institute for Dynamics and Self Organization,5
2015,Non-Elsevier,Max Planck Institute of Neurobiology,15
2015,Non-Elsevier,Leipzig University of Applied Sciences,5
2013,Elsevier,Leibniz Institute for Analytical Sciences - ISAS,7
2013,Elsevier,Leibniz Institute of Agricultural Development in Transition Economies,8
2016,Elsevier,Helmut Schmidt University,29
2018,Elsevier,Max Planck Institute for Evolutionary Anthropology,39
2013,Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,3
2012,Elsevier,Robert Koch Institute,22
2019,Elsevier,Max Planck Institute for Plasma Physics,51
2020,Elsevier,Fraunhofer Institute for Computer Graphics Research,4
2016,Non-Elsevier,University of Applied Sciences Biberach,5
2015,Non-Elsevier,Hochschule Ulm,6
2020,Non-Elsevier,Fraunhofer Institute for Surface Engineering and Thin Films,7
2016,Elsevier,Leibniz Institute for Farm Animal Biology,16
2014,Elsevier,"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",4
2013,Non-Elsevier,Bremen University of Applied Sciences,4
2012,Non-Elsevier,Fraunhofer Institute for Process Engineering and Packaging,20
2016,Non-Elsevier,Bonn-Rhein-Sieg University of Applied Sciences,13
2014,Elsevier,Fraunhofer Institute for Reliability and Microintegration,3
2017,Non-Elsevier,Max Planck Institute for Informatics,39
2016,Elsevier,Bundeswehr University Munich,27
2012,Elsevier,Max Planck Institute for Heart and Lung Research,12
2015,Non-Elsevier,Leibniz Institute of Agricultural Development in Transition Economies,11
2015,Non-Elsevier,Fraunhofer Institute for Production Systems and Design Technology,4
2013,Non-Elsevier,Fraunhofer Institute for Material and Beam Technology,19
2012,Non-Elsevier,German Rheumatism Research Centre,33
2017,Non-Elsevier,Hochschule Geisenheim University,16
2015,Elsevier,German Rheumatism Research Centre,9
2017,Elsevier,Max Planck Institute for Dynamics of Complex Technical Systems,37
2019,Elsevier,Münster University of Applied Sciences,3
2017,Non-Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,13
2015,Non-Elsevier,Fraunhofer Center for International Management and Knowledge Economy,3
2019,Non-Elsevier,Max Planck Institute for the Study of Societies,12
2018,Elsevier,Max Planck Institute for Gravitational Physics,2
2020,Non-Elsevier,Frankfurt University of Applied Sciences,14
2016,Elsevier,Fraunhofer Institute for Electronic Nano Systems,13
2013,Elsevier,German Institute of Human Nutrition,12
2013,Non-Elsevier,Max Planck Institute for Molecular Biomedicine,33
2013,Elsevier,Leibniz Research Centre for Working Environment and Human Factors,11
2014,Non-Elsevier,Fraunhofer Institute for Manufacturing Engineering and Automation,8
2015,Non-Elsevier,Fraunhofer Institute for Applied Optics and Precision Engineering,9
2019,Non-Elsevier,Fraunhofer Institute for High Frequency Physics and Radar Techniques,7
2013,Non-Elsevier,Fraunhofer Institute for Production Systems and Design Technology,4
2017,Non-Elsevier,Institute for the German Language,13
2020,Non-Elsevier,Heilbronn University,12
2020,Non-Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,8
2016,Non-Elsevier,Fraunhofer Institute for Ceramic Technologies and Systems,20
2013,Elsevier,Max Planck Institute of Psychiatry,19
2012,Non-Elsevier,Max Planck Institute for the Science of Light,45
2017,Non-Elsevier,University of Education Freiburg,13
2016,Elsevier,Max Planck Institute for Nuclear Physics,16
2013,Elsevier,Max Planck Institute for Dynamics of Complex Technical Systems,42
2017,Elsevier,Max Planck Institute of Molecular Physiology,6
2014,Elsevier,Fraunhofer Institute for Molecular Biology and Applied Ecology,19
2013,Elsevier,Max Planck Institute for Dynamics and Self Organization,3
2019,Elsevier,Hochschule Aalen,4
2013,Elsevier,Fraunhofer Institute for Photonic Microsystems,9
2013,Non-Elsevier,Fraunhofer Institute for Software and Systems Engineering,1
2014,Non-Elsevier,RWI – Leibniz Institute for Economic Research,6
2017,Non-Elsevier,Max Planck Computing and Data Facility,3
2018,Elsevier,GSI Helmholtz Centre for Heavy Ion Research,30
2017,Non-Elsevier,Fraunhofer Institute for Digital Media Technology,5
2012,Elsevier,Fraunhofer Institute for Physical Measurement Techniques,4
2016,Non-Elsevier,Max Planck Institute for Plant Breeding Research,47
2012,Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,45
2017,Non-Elsevier,Frankfurt University of Applied Sciences,9
2018,Elsevier,Fraunhofer Institute for Systems and Innovation Research,21
2019,Elsevier,Max Planck Institute for Human Cognitive and Brain Sciences,37
2013,Non-Elsevier,Max Planck Institute for Plasma Physics,24
2020,Elsevier,Max Planck Institute for Ornithology,7
2016,Elsevier,Fraunhofer Institute for Production Systems and Design Technology,19
2016,Non-Elsevier,Fraunhofer Institute for Physical Measurement Techniques,9
2014,Non-Elsevier,Leipzig University of Applied Sciences,13
2019,Non-Elsevier,Reutlingen University,22
2018,Elsevier,Fraunhofer Institute for Silicate Research,8
2012,Non-Elsevier,Max Planck Institute for Astrophysics,46
2013,Non-Elsevier,Social Science Research Center Berlin,16
2012,Elsevier,Max Planck Institute for Intelligent Systems,19
2014,Non-Elsevier,Rhine-Waal University of Applied Sciences,10
2019,Elsevier,Fraunhofer Institute for Toxicology and Experimental Medicine,9
2014,Elsevier,Augsburg University of Applied Sciences,2
2016,Non-Elsevier,Dresden University of Applied Sciences,1
2015,Non-Elsevier,Max Planck Institute for Brain Research,20
2015,Elsevier,Bundeswehr University Munich,25
2014,Non-Elsevier,"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",26
2018,Non-Elsevier,"Fraunhofer Institute for Environmental, Safety, and Energy Technology",15
2017,Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,6
2017,Elsevier,Bundeswehr University Munich,19
2018,Elsevier,Fraunhofer Institute for Production Systems and Design Technology,23
2014,Elsevier,Bernhard Nocht Institute for Tropical Medicine,12
2016,Elsevier,Fraunhofer Institute for Reliability and Microintegration,5
2018,Non-Elsevier,Fachhochschule Bielefeld,22
2019,Non-Elsevier,Augsburg University of Applied Sciences,8
2016,Non-Elsevier,Fraunhofer Institute for Open Communication Systems,1
2018,Elsevier,Fraunhofer Institute for Ceramic Technologies and Systems,25
2014,Elsevier,Leibniz Research Centre for Working Environment and Human Factors,6
2016,Non-Elsevier,Fraunhofer Institute for Reliability and Microintegration,9
2020,Non-Elsevier,Max Planck Institute of Microstructure Physics,38
2012,Non-Elsevier,Fraunhofer Institute for Machine Tools and Forming Technology,9
2016,Elsevier,Max Planck Institute for Ornithology,8
2016,Elsevier,Leibniz Institute for Analytical Sciences - ISAS,11
2016,Elsevier,Neubrandenburg University of Applied Sciences,3
2015,Non-Elsevier,Reutlingen University,18
2014,Elsevier,Max Planck Institute of Molecular Cell Biology and Genetics,16
2012,Non-Elsevier,Mannheim University of Applied Sciences,11
2019,Elsevier,Baden-Wuerttemberg Cooperative State University,1
2014,Non-Elsevier,Leibniz Institute for Tropospheric Research,33
2013,Non-Elsevier,University of Education Freiburg,8
2018,Non-Elsevier,Karlsruhe University of Applied Sciences,17
2020,Elsevier,Leibniz Institute of Agricultural Development in Transition Economies,4
2018,Non-Elsevier,Leipzig University of Applied Sciences,13
2017,Elsevier,Max Planck Institute for Mathematics,8
2020,Elsevier,Max Planck Institute for Solid State Research,13
2016,Elsevier,Halle Institute for Economic Research,3
2014,Elsevier,"Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut",7
2018,Elsevier,Julius Kühn-Institut,9
2018,Non-Elsevier,Fraunhofer Institute for Production Technology,3
2017,Non-Elsevier,Fraunhofer Institute for Production Technology,6
2017,Elsevier,Max Planck Institute for Extraterrestrial Physics,1
2019,Elsevier,Fraunhofer Institute for Wind Energy Systems,4
2018,Elsevier,Max Planck Institute for Brain Research,4
2020,Non-Elsevier,Max Planck Institute for Astrophysics,15
2014,Elsevier,Fraunhofer Institute for Digital Medicine,3
2018,Elsevier,Max Planck Institute for Chemical Energy Conversion,6
2020,Elsevier,Fraunhofer Institute for Toxicology and Experimental Medicine,9
2016,Elsevier,Fraunhofer Institute for Toxicology and Experimental Medicine,7
2013,Elsevier,Max Planck Institute for Human Development,21
2012,Elsevier,Bernhard Nocht Institute for Tropical Medicine,8
2020,Elsevier,Hochschule Geisenheim University,5
2020,Non-Elsevier,Ostwestfalen-Lippe University of Applied Sciences and Arts,8
2019,Non-Elsevier,Hochschule Geisenheim University,21
2013,Elsevier,"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",1
2012,Elsevier,Max Planck Institute for Human Development,9
2019,Non-Elsevier,Max Planck Institute for Astrophysics,19
2013,Non-Elsevier,Fraunhofer Institute for Solar Energy Systems,43
2020,Elsevier,Social Science Research Center Berlin,6
2014,Elsevier,Fraunhofer Institute for Applied Solid State Physics,6
2012,Elsevier,Max Planck Society,17
2015,Non-Elsevier,Max Planck Institute for Empirical Aesthetics,8
2018,Elsevier,Fraunhofer Institute for Intelligent Analysis and Information Systems,1
2015,Elsevier,Research Center Borstel - Leibniz-Center for Medicine and Biosciences,7
2016,Non-Elsevier,Hamburg University of Applied Sciences,22
2016,Non-Elsevier,HHL Leipzig Graduate School of Management,8
2013,Elsevier,University of Passau,6
2014,Non-Elsevier,University of Hagen,47
2020,Non-Elsevier,Fraunhofer Portugal Research,8
2015,Non-Elsevier,Fraunhofer Institute for Wind Energy Systems,3
2019,Elsevier,Max Planck Institute for Intelligent Systems,9
2015,Elsevier,Max Delbrück Center for Molecular Medicine,40
2017,Non-Elsevier,Fraunhofer Institute for Manufacturing Technology and Advanced Materials,23
2013,Non-Elsevier,Institut für Arbeitsmarkt und Berufsforschung,8
2017,Elsevier,Fraunhofer Institute for Applied and Integrated Security,4
2017,Non-Elsevier,Max Planck Institute for Metabolism Research,25
2013,Non-Elsevier,Fraunhofer Institute for Digital Media Technology,3
2019,Non-Elsevier,Fraunhofer Institute for Industrial Engineering,11
2016,Non-Elsevier,Fraunhofer Institute for Integrated Circuits,7
2015,Elsevier,Max Planck Institute of Experimental Medicine,13
2018,Non-Elsevier,Hochschule Hannover,16
2018,Non-Elsevier,Heidelberg University of Education,15
2013,Elsevier,Max Planck Institute for Demographic Research,5
2020,Non-Elsevier,Fraunhofer Institute for Nondestructive Testing,9
2016,Non-Elsevier,University of Education Weingarten,7
2018,Elsevier,Hamburg University of Applied Sciences,9
2017,Elsevier,Fraunhofer Institute for Chemical Technology,12
2014,Non-Elsevier,Fraunhofer Institute for Manufacturing Technology and Advanced Materials,13
2020,Elsevier,Westsächsische Hochschule Zwickau,2
2015,Non-Elsevier,Max Planck Institute of Molecular Plant Physiology,44
2017,Non-Elsevier,Fraunhofer Institute for Integrated Circuits,12
2015,Non-Elsevier,Fraunhofer Institute for Laser Technology,10
2016,Elsevier,Mannheim University of Applied Sciences,9
2017,Non-Elsevier,Westsächsische Hochschule Zwickau,9
2014,Non-Elsevier,Max Planck Institute for Extraterrestrial Physics,54
2017,Non-Elsevier,Leipzig University of Applied Sciences,14
2018,Non-Elsevier,"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",3
2014,Elsevier,Fraunhofer Institute for Factory Operation and Automation,6
2017,Elsevier,Fraunhofer Institute for Cell Therapy and Immunology,13
2017,Non-Elsevier,Hochschule Hannover,12
2015,Elsevier,Hochschule Hannover,2
2014,Elsevier,Helmut Schmidt University,24
2014,Non-Elsevier,Max Planck Institute for Chemical Energy Conversion,22
2012,Non-Elsevier,Hochschule Aalen,24
2020,Non-Elsevier,Fraunhofer Italia Research,5
2019,Elsevier,Fraunhofer Institute for Factory Operation and Automation,6
2012,Non-Elsevier,Max Planck Unit for Structural Molecular Biology,1
2018,Non-Elsevier,Fraunhofer Institute for Mechanics of Materials,10
2016,Non-Elsevier,"Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut",10
2019,Elsevier,Halle Institute for Economic Research,7
2017,Non-Elsevier,Max Planck Florida Institute for Neuroscience,13
2013,Non-Elsevier,Munich University of Applied Sciences,11
2013,Elsevier,Max Planck Institute for Solid State Research,17
2015,Elsevier,Max Planck Institute for Nuclear Physics,15
2014,Elsevier,Fraunhofer Institute for Process Engineering and Packaging,13
2017,Non-Elsevier,TH Köln – University of Applied Sciences,17
2012,Non-Elsevier,University of Passau,20
2020,Non-Elsevier,Max Planck Institute for Mathematics,19
2017,Non-Elsevier,Leibniz Institute for Farm Animal Biology,48
2016,Elsevier,Fraunhofer Institute for Chemical Technology,17
2018,Elsevier,Offenburg University of Applied Sciences,9
2017,Elsevier,Technische Hochschule Mittelhessen,13
2014,Non-Elsevier,"Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut",7
2012,Non-Elsevier,Leipzig University of Applied Sciences,6
2013,Non-Elsevier,Fraunhofer Institute for Chemical Technology,10
2013,Non-Elsevier,Halle Institute for Economic Research,5
2013,Non-Elsevier,Fraunhofer Institute for Applied Polymer Research,15
2018,Elsevier,FH Aachen,8
2018,Non-Elsevier,Max Planck Institute of Biophysics,27
2013,Non-Elsevier,Furtwangen University,8
2019,Non-Elsevier,Fraunhofer Institute for Ceramic Technologies and Systems,28
2015,Elsevier,Helmholtz Centre for Infection Research,33
2020,Elsevier,"Bauhaus University, Weimar",24
2016,Elsevier,Hochschule Konstanz University of Applied Sciences,6
2020,Elsevier,Fraunhofer Institute for Integrated Circuits,7
2018,Non-Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,8
2015,Non-Elsevier,Fraunhofer Institute for Cell Therapy and Immunology,47
2014,Elsevier,Max Planck Institute for Terrestrial Microbiology,13
2020,Elsevier,German Rheumatism Research Centre,7
2016,Non-Elsevier,Fraunhofer Institute for Applied and Integrated Security,3
2018,Elsevier,Max Planck Institute for Heart and Lung Research,12
2018,Non-Elsevier,Fraunhofer Institute for Biomedical Engineering,9
2020,Non-Elsevier,Technische Hochschule Ingolstadt,14
2016,Elsevier,German Institute of Human Nutrition,19
2018,Elsevier,German Institute for International Educational Research,13
2016,Elsevier,Max Planck Institute for Psycholinguistics,10
2019,Elsevier,Max Planck Institute for Psycholinguistics,13
2015,Elsevier,Max Planck Institute for Chemistry,9
2017,Non-Elsevier,Max Planck Institute for Foreign and International Criminal Law,3
2013,Elsevier,Paul Ehrlich Institut,12
2019,Elsevier,Hamburg University of Applied Sciences,10
2016,Non-Elsevier,Hochschule Mittweida,9
2014,Non-Elsevier,Fraunhofer Institute for Digital Medicine,14
2017,Elsevier,Max Planck Institute for Ornithology,7
2018,Non-Elsevier,Fraunhofer Institute for Silicate Research,20
2017,Non-Elsevier,Fraunhofer Institute for Applied and Integrated Security,1
2020,Elsevier,Max Planck Institute for Biological Cybernetics,10
2015,Non-Elsevier,Max Planck Institute for Ornithology,35
2015,Elsevier,Ostwestfalen-Lippe University of Applied Sciences and Arts,3
2020,Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,5
2019,Non-Elsevier,Max Planck Institute for Biogeochemistry,54
2017,Non-Elsevier,Fraunhofer Institute for Applied Polymer Research,13
2014,Elsevier,Max Planck Institute for Polymer Research,13
2015,Non-Elsevier,"Fraunhofer Institute for Environmental, Safety, and Energy Technology",8
2014,Non-Elsevier,"Fraunhofer Institute for Communication, Information Processing and Ergonomics",6
2017,Elsevier,Max Planck Institute for the History of Science,3
2018,Elsevier,Catholic University of Eichstätt-Ingolstadt,11
2016,Elsevier,Hochschule Mittweida,6
2016,Non-Elsevier,Fraunhofer Chile Research Foundation,5
2020,Elsevier,TH Köln – University of Applied Sciences,10
2016,Non-Elsevier,Max Planck Institute for Demographic Research,17
2019,Non-Elsevier,Frankfurt University of Applied Sciences,12
2016,Non-Elsevier,Max Planck Institute for Astronomy,24
2018,Elsevier,Fraunhofer Institute for Process Engineering and Packaging,16
2018,Elsevier,Max Planck Institute for the Science of Light,3
2017,Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,38
2014,Non-Elsevier,Fraunhofer Institute for Computer Graphics Research,6
2017,Elsevier,Fraunhofer Institute for Material and Beam Technology,14
2018,Elsevier,Max Planck Institute of Biophysics,12
2016,Non-Elsevier,Leibniz Institute for Analytical Sciences - ISAS,22
2015,Non-Elsevier,Mannheim University of Applied Sciences,16
2020,Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,8
2013,Non-Elsevier,Fraunhofer Institute for Toxicology and Experimental Medicine,12
2017,Non-Elsevier,Fraunhofer Institute for Intelligent Analysis and Information Systems,7
2018,Non-Elsevier,Westsächsische Hochschule Zwickau,3
2019,Non-Elsevier,Leibniz Institute of Plant Biochemistry,51
2013,Non-Elsevier,Dresden University of Applied Sciences,7
2012,Elsevier,Fraunhofer Institute for Electronic Nano Systems,6
2018,Elsevier,Fraunhofer Italia Research,7
2018,Elsevier,Leibniz Institute for Zoo and Wildlife Research,12
2019,Elsevier,Helmut Schmidt University,28
2020,Elsevier,Leibniz Center for Tropical Marine Ecology,20
2020,Non-Elsevier,Rhine-Waal University of Applied Sciences,26
2013,Non-Elsevier,Max Planck Institute for Foreign and International Criminal Law,2
2016,Elsevier,Fraunhofer Institute for Physical Measurement Techniques,8
2016,Elsevier,Max Planck Institute for Molecular Genetics,10
2020,Elsevier,Max Planck Institute for Iron Research,61
2014,Elsevier,Furtwangen University,7
2018,Non-Elsevier,Fraunhofer Institute for Digital Medicine,22
2015,Elsevier,Max Planck Institute for Developmental Biology,16
2018,Non-Elsevier,Pforzheim University of Applied Sciences,12
2017,Non-Elsevier,Max Planck Institute for Developmental Biology,52
2014,Elsevier,Halle Institute for Economic Research,3
2014,Elsevier,Fraunhofer Institute for Silicate Research,11
2015,Elsevier,Museum für Naturkunde,6
2020,Elsevier,Max Planck Institute for Physics,6
2016,Elsevier,FH Aachen,10
2019,Non-Elsevier,Fraunhofer Institute for Applied Information Technology,13
2016,Non-Elsevier,"Fraunhofer Institute for Environmental, Safety, and Energy Technology",11
2018,Elsevier,Technische Hochschule Mittelhessen,19
2019,Non-Elsevier,Hochschule Mittweida,9
2018,Non-Elsevier,Fraunhofer Institute for Manufacturing Technology and Advanced Materials,20
2016,Non-Elsevier,Fraunhofer Institute for Machine Tools and Forming Technology,13
2016,Non-Elsevier,Hochschule Konstanz University of Applied Sciences,6
2018,Non-Elsevier,Leibniz Institute of Ecological Urban and Regional Development,9
2014,Non-Elsevier,Hochschule Hannover,12
2016,Non-Elsevier,Fraunhofer Institute for Building Physics,3
2019,Non-Elsevier,Max Planck Institute of Molecular Physiology,35
2014,Elsevier,Max Planck Institute for the Science of Human History,6
2018,Non-Elsevier,Max Planck Institute for the Study of Societies,15
2020,Non-Elsevier,Stuttgart University of Applied Sciences,9
2018,Elsevier,Fraunhofer Institute for Interfacial Engineering and Biotechnology,15
2018,Non-Elsevier,University of Applied Sciences Biberach,5
2012,Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,2
2017,Elsevier,Max Planck Institute of Molecular Plant Physiology,16
2015,Non-Elsevier,Fraunhofer Institute for Industrial Engineering,4
2014,Non-Elsevier,Darmstadt University of Applied Sciences,8
2016,Elsevier,Leibniz Institute for Tropospheric Research,6
2019,Elsevier,Munich University of Applied Sciences,9
2016,Non-Elsevier,Max Planck Institute for Biogeochemistry,45
2012,Non-Elsevier,Max Planck Institute for Research on Collective Goods,10
2018,Non-Elsevier,Max Planck Institute for Research on Collective Goods,8
2016,Elsevier,"Fraunhofer Institute for Communication, Information Processing and Ergonomics",4
2017,Non-Elsevier,Hochschule Ulm,10
2019,Elsevier,Max Planck Institute for Developmental Biology,13
2019,Non-Elsevier,Max Planck Institute for Molecular Biomedicine,23
2013,Elsevier,Max Planck Institute for Mathematics,3
2018,Non-Elsevier,"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",17
2020,Elsevier,Fraunhofer Institute for Experimental Software Engineering,1
2020,Non-Elsevier,Max Planck Florida Institute for Neuroscience,7
2012,Non-Elsevier,Leibniz Center for Tropical Marine Ecology,19
2020,Elsevier,Fraunhofer Institute for Solar Energy Systems,25
2018,Non-Elsevier,Hochschule Konstanz University of Applied Sciences,7
2020,Elsevier,Technische Hochschule Mittelhessen,9
2020,Non-Elsevier,Fraunhofer Institute for Applied and Integrated Security,2
2017,Elsevier,Leibniz Institute of Agricultural Development in Transition Economies,2
2016,Elsevier,University of Applied Sciences Biberach,3
2019,Non-Elsevier,Esslingen University of Applied Sciences,11
2015,Elsevier,Max Planck Institute for Empirical Aesthetics,5
2019,Non-Elsevier,Fraunhofer Institute for Energy Economics and Energy System Technology,9
2019,Non-Elsevier,Hamm-Lippstadt University of Applied Sciences,4
2014,Elsevier,Fraunhofer Institute for Secure Information Technology,2
2018,Non-Elsevier,Max Planck Institute for Innovation and Competition,7
2020,Non-Elsevier,"Fraunhofer Institute of Optronics, System Technologies and Image Exploitation",31
2019,Elsevier,Deggendorf Institute of Technology,7
2013,Elsevier,Fraunhofer Institute for Applied Polymer Research,7
2016,Non-Elsevier,Hochschule Aalen,25
2015,Non-Elsevier,Fraunhofer Institute for Material and Beam Technology,16
2013,Elsevier,Julius Kühn-Institut,3
2013,Non-Elsevier,Technische Hochschule Mittelhessen,5
2020,Non-Elsevier,HHL Leipzig Graduate School of Management,13
2018,Non-Elsevier,Max Planck Institute for Software Systems,7
2017,Non-Elsevier,"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",29
2018,Elsevier,Max Planck Institute for Biological Cybernetics,15
2016,Elsevier,Fraunhofer Institute for Building Physics,2
2013,Non-Elsevier,Fraunhofer USA,1
2017,Elsevier,Max Planck Research Unit Neurogenetics,2
2016,Non-Elsevier,Augsburg University of Applied Sciences,2
2019,Non-Elsevier,Deggendorf Institute of Technology,19
2017,Elsevier,University of Trier,41
2016,Elsevier,Leibniz Institute of Agricultural Development in Transition Economies,10
2020,Elsevier,Max Planck Institute for Astronomy,1
2014,Non-Elsevier,Max Planck Institute for Metabolism Research,31
2016,Elsevier,Regensburg University of Applied Sciences,5
2019,Elsevier,Fachhochschule Bielefeld,11
2013,Elsevier,Offenburg University of Applied Sciences,3
2017,Elsevier,Centre For European Economic Research,19
2012,Elsevier,Max Planck Institute for the Science of Human History,8
2017,Non-Elsevier,Fraunhofer Institute for Electronic Nano Systems,11
2017,Elsevier,Max Planck Institute of Experimental Medicine,7
2012,Non-Elsevier,Münster University of Applied Sciences,11
2013,Elsevier,Fraunhofer Institute for Systems and Innovation Research,5
2012,Elsevier,Helmut Schmidt University,16
2019,Non-Elsevier,Fachhochschule Kiel,12
2020,Elsevier,Max Planck Institute for Meteorology,2
2015,Elsevier,Offenburg University of Applied Sciences,18
