article_pubyear,member,n_items
2015,4186,11
2016,4186,10
2019,4186,8
2020,4295,2
2019,3820,1
2012,4185,1
2012,36,22
2013,36,19
2014,36,20
2016,36,10
2014,7437,176
2013,7437,166
2012,7437,210
2018,7437,163
2017,7437,212
2020,7437,208
2016,7437,223
2019,7437,202
2019,8611,140
2018,8611,99
2016,8611,54
2017,8611,91
2020,8611,105
2012,4137,12
2013,4137,15
2016,4137,41
2017,4137,42
2018,4137,39
2019,4137,38
2015,4137,20
2020,4137,52
2014,4137,25
2018,4295,1
2020,25112,8
2016,4226,3
2013,4226,2
2014,234,509
2013,1892,1
2018,1892,1
2017,2118,2
2019,4374,192
2018,265,75
2015,5239,5
2017,5239,2
2017,11208,1
2015,11208,1
2020,4226,2
2019,1387,47
2020,1387,75
2015,237,138
2014,2216,1
2017,2216,2
2019,2216,3
2020,23555,9
2012,1387,47
2014,1387,8
2015,1387,18
2016,1387,10
2013,1387,2
2015,101,231
2018,101,284
2013,101,244
2014,101,251
2019,101,319
2012,101,253
2016,101,221
2017,101,241
2020,101,299
2017,16314,4
2012,237,158
2013,237,128
2014,237,181
2016,2580,1
2013,3407,2
2018,3742,2
2014,155,48
2018,155,39
2015,155,40
2016,155,38
2018,237,150
2020,237,152
2016,237,143
2017,237,173
2019,237,161
2018,3407,1
2017,9980,5
2013,4950,1
2020,20063,5
2020,7257,2
2019,7257,4
2017,231,59
2018,231,71
2019,231,68
2020,231,57
2019,8606,2
2016,9479,6
2012,737,2
2017,3595,14
2019,285,32
2015,285,211
2017,285,56
2012,108,14
2013,108,29
2014,108,25
2015,108,25
2013,231,28
2014,231,30
2015,231,45
2016,231,38
2017,187,7
2020,187,5
2020,1757,99
2012,1798,4
2013,1798,6
2019,735,16
2018,735,27
2017,735,20
2012,736,27
2013,736,32
2014,736,51
2015,736,52
2016,736,34
2017,736,32
2018,736,30
2019,736,30
2020,736,36
2013,945,59
2017,945,44
2018,945,34
2020,945,46
2013,98,576
2014,98,554
2014,147,79
2018,147,29
2019,252,4
2020,252,9
2012,4961,42
2013,4961,17
2014,4961,38
2015,4961,41
2016,4961,14
2017,4961,20
2018,4961,22
2019,4961,7
2020,4961,28
2012,5007,3
2013,5007,4
2013,19,28
2014,19,30
2015,19,29
2016,19,49
2020,19,53
2012,17,7
2013,252,9
2014,252,16
2015,252,17
2016,252,13
2017,19,49
2018,19,41
2020,5007,9
2019,2560,45
2018,2560,60
2020,2560,52
2020,3285,98
2018,3285,54
2019,3285,63
2016,8312,1
2018,98,401
2012,98,611
2017,2560,45
2016,2560,42
2020,7491,5
2012,10602,48
2013,404,1
2016,404,1
2019,19235,39
2020,19235,9
2015,1928,1
2016,1931,7
2015,1931,9
2018,1931,15
2019,17845,2
2013,3061,10
2014,3061,12
2016,3061,26
2018,3061,20
2019,3061,17
2015,3061,9
2017,3061,10
2020,3061,11
2012,1574,9
2012,790,9
2013,790,16
2014,790,22
2016,790,24
2017,790,16
2018,790,30
2015,790,17
2019,790,20
2020,790,29
2019,7412,4
2016,7412,1
2020,7465,1
2018,7276,4
2017,9223,5
2018,9223,5
2019,9223,16
2020,9223,21
2019,2581,39
2014,10894,5
2016,10894,7
2018,970,2
2012,1167,53
2013,1167,59
2014,1167,44
2015,1167,50
2016,1167,47
2017,1167,42
2020,317,1025
2016,285,148
2013,3197,47
2016,3197,21
2014,3197,56
2019,6535,2
2018,1167,47
2019,1167,40
2020,1167,54
2020,80,105
2016,288,46
2017,288,44
2018,288,40
2019,288,54
2020,288,53
2012,170,9
2013,170,6
2014,170,8
2017,170,13
2017,6146,2
2019,416,59
2016,4873,1
2018,4873,14
2020,4873,4
2017,1745,14
2015,1745,6
2014,1745,3
2019,1745,3
2020,1745,4
2019,5675,22
2020,5675,35
2012,416,30
2014,416,34
2017,416,46
2016,416,43
2018,416,53
2020,416,54
2020,16648,5
2012,2432,82
2017,2432,33
2020,2432,29
2019,2432,19
2018,5675,18
2015,5675,18
2016,5675,18
2017,5675,15
2012,5675,4
2012,341,356
2013,341,404
2014,341,314
2016,965,83
2012,412,8
2013,412,5
2020,412,2
2016,33,123
2017,33,142
2018,33,126
2020,234,250
2019,234,399
2012,9895,7
2012,233,327
2012,7892,13
2014,2758,4
2015,2758,3
2020,165,15
2015,NA,5
2016,NA,4
2020,155,22
2016,13,530
2017,155,42
2012,2751,2
2012,2308,7
2015,4268,1
2015,6951,7
2017,6951,23
2019,6951,52
2020,6951,62
2018,6951,33
2020,3210,5
2017,3151,2
2020,3984,4
2020,914,4
2017,4948,1
2020,8469,3
2020,8565,2
2019,24700,5
2017,28163,1
2016,9021,2
2015,3948,4
2018,3210,3
2013,6228,2
2014,3185,2
2015,3185,1
2018,320,230
2018,3176,5
2019,3176,3
2020,3176,3
2017,3176,4
2016,2101,27
2017,2101,97
2012,2101,5
2013,2101,4
2015,2101,4
2018,2101,64
2015,7995,23
2016,7995,32
2017,7995,29
2018,7995,23
2019,7995,34
2020,7995,29
2013,7995,10
2014,7995,21
2012,7995,5
2020,11468,3
2013,1952,2
2013,1748,14
2018,1748,20
2015,1748,10
2020,1748,35
2016,1748,8
2019,1748,18
2017,1748,16
2019,5258,3
2019,330,3
2015,200,4
2012,2098,22
2014,2098,36
2013,2098,22
2015,2098,30
2016,2098,39
2017,2098,38
2018,2098,41
2019,2098,33
2020,2098,30
2012,10,49
2020,1953,1
2019,13,662
2014,3689,7
2015,13,463
2020,9787,9
2017,11490,1
2019,11490,2
2017,2249,64
2014,393,149
2013,393,178
2012,393,173
2015,393,122
2016,393,118
2013,257,54
2019,1592,1
2014,67,53
2018,393,100
2020,393,103
2019,393,88
2017,393,117
2018,859,8
2015,1899,2
2020,1899,1
2018,1902,2
2017,1593,1
2015,98,505
2013,3209,2
2015,3209,2
2016,3209,4
2019,9236,5
2020,9236,3
2020,1057,53
2012,26169,2
2014,5556,1
2017,5777,14
2016,9237,1
2014,1057,69
2017,1057,53
2018,1057,49
2019,1057,53
2012,1057,49
2015,1057,70
2013,1057,53
2016,1057,76
2016,3285,28
2018,3209,5
2013,9467,2
2014,8215,1
2015,2208,223
2020,4374,246
2019,2457,163
2020,2457,48
2015,1602,49
2016,1602,54
2013,1564,3
2015,1564,2
2012,20,14
2017,1602,53
2019,1602,57
2018,1602,54
2020,1602,67
2014,532,4
2016,532,4
2012,532,5
2017,30,44
2019,30,34
2020,30,36
2016,30,42
2013,30,28
2014,30,26
2018,30,46
2012,3906,1
2020,6550,4
2019,6616,2
2015,3904,2
2017,3904,4
2018,3904,3
2019,3904,4
2020,3904,4
2012,2795,7
2014,15,191
2013,15,198
2015,15,137
2012,2060,20
2014,16089,10
2018,102,1
2012,320,188
2012,15,165
2016,15,140
2017,15,169
2018,15,182
2019,15,203
2020,15,169
2013,408,6
2017,408,27
2018,408,33
2016,408,24
2012,408,9
2019,3322,2
2020,7770,2
2015,79,120
2016,79,113
2018,79,122
2017,79,125
2019,79,129
2020,79,165
2013,7447,2
2016,3322,1
2016,7802,3
2018,16261,6
2019,16261,8
2020,281,90
2017,2708,9
2018,2708,6
2019,2708,12
2020,2708,11
2012,2720,31
2013,2720,24
2015,2720,18
2017,2720,36
2018,2720,17
2019,2720,28
2020,2720,18
2017,3042,1
2014,1272,3
2019,11118,1
2014,4947,19
2019,1645,6
2020,1645,8
2015,2718,2
2016,2262,16
2017,2262,15
2020,2262,3
2012,124,10
2014,124,7
2020,4947,11
2015,4947,24
2017,4947,24
2015,14905,7
2018,11070,1
2019,11070,2
2015,1604,6
2020,1604,6
2013,1574,9
2015,2725,7
2012,2725,8
2016,2725,7
2013,2725,6
2017,2725,4
2018,6689,3
2014,4840,1
2012,4844,1
2013,4844,1
2015,4844,2
2018,6675,2
2019,6689,4
2017,6689,6
2015,26414,1
2015,1038,2
2012,3819,6
2016,3819,4
2014,3825,1
2020,1253,1
2019,194,984
2018,4840,1
2020,4840,5
2013,2525,26
2015,2525,28
2016,2525,19
2017,2525,10
2018,2525,12
