article_pubyear,publisher,institution_name,n_refs
2016,Non-Elsevier,University of Freiburg,6528
2017,Non-Elsevier,Leipzig University,6694
2012,Non-Elsevier,Max Planck Institute of Immunobiology and Epigenetics,382
2020,Non-Elsevier,Leipzig University,7786
2015,Non-Elsevier,University of Tübingen,9681
2018,Elsevier,University of Hohenheim,1071
2018,Non-Elsevier,University of Erlangen-Nuremberg,9181
2020,Non-Elsevier,German Center for Neurodegenerative Diseases,2344
2019,Non-Elsevier,University of Mannheim,862
2015,Elsevier,Leibniz Institute of Polymer Research,243
2014,Non-Elsevier,Max Planck Institute for the Physics of Complex Systems,899
2013,Non-Elsevier,Charité - University Medicine Berlin,9981
2013,Non-Elsevier,University of Rostock,2284
2015,Elsevier,Ruhr University Bochum,2050
2012,Elsevier,Leipzig University,2056
2020,Non-Elsevier,Forschungszentrum Jülich,6292
2020,Non-Elsevier,RWTH Aachen University,11754
2019,Non-Elsevier,University of Stuttgart,3749
2012,Non-Elsevier,Forschungszentrum Jülich,3834
2018,Non-Elsevier,TU Dortmund University,2406
2017,Non-Elsevier,Hannover Medical School,6356
2015,Non-Elsevier,Otto-von-Guericke University Magdeburg,3047
2017,Elsevier,University of Münster,1760
2017,Non-Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,1066
2017,Non-Elsevier,University of Bremen,2893
2016,Elsevier,University of Erlangen-Nuremberg,2885
2020,Elsevier,University of Göttingen,2360
2020,Elsevier,Kiel University,2017
2016,Non-Elsevier,University of Potsdam,3569
2016,Elsevier,University of Potsdam,956
2014,Non-Elsevier,German Aerospace Center,1383
2018,Elsevier,Forschungszentrum Jülich,2220
2017,Elsevier,Hannover Medical School,2077
2015,Elsevier,University Medical Center Hamburg-Eppendorf,2124
2013,Non-Elsevier,Heidelberg University,10010
2013,Elsevier,University of Siegen,140
2019,Non-Elsevier,University of Freiburg,8015
2012,Non-Elsevier,University of Ulm,4531
2020,Elsevier,University of Potsdam,1434
2013,Non-Elsevier,University of Bayreuth,2523
2016,Elsevier,Hannover Medical School,2221
2020,Elsevier,Karlsruhe Institute of Technology,3708
2013,Non-Elsevier,University of Würzburg,6797
2014,Non-Elsevier,University of Regensburg,4243
2020,Non-Elsevier,Fraunhofer Institute for Solar Energy Systems,569
2012,Non-Elsevier,Universität Hamburg,4138
2018,Non-Elsevier,Max Planck Institute for Infection Biology,366
2020,Non-Elsevier,Fraunhofer Institute for Industrial Engineering,95
2014,Elsevier,Helmholtz Zentrum München,894
2018,Elsevier,University of Kaiserslautern,568
2014,Elsevier,University of Ulm,1244
2015,Non-Elsevier,University of Bonn,6931
2018,Non-Elsevier,University of Regensburg,4425
2016,Elsevier,University of Stuttgart,1109
2017,Elsevier,Karlsruhe Institute of Technology,3028
2015,Non-Elsevier,Charité - University Medicine Berlin,10666
2013,Elsevier,Goethe University Frankfurt,2211
2016,Non-Elsevier,Max Planck Institute for Coal Research,1357
2015,Non-Elsevier,Max Planck Institute of Microstructure Physics,465
2017,Non-Elsevier,University of Bonn,7742
2012,Elsevier,University of Stuttgart,656
2014,Non-Elsevier,Max Planck Institute for Medical Research,242
2013,Elsevier,Kiel University,1281
2012,Non-Elsevier,Karlsruhe Institute of Technology,5621
2016,Non-Elsevier,Max Planck Institute for Iron Research,568
2014,Non-Elsevier,University of Würzburg,6578
2012,Elsevier,University of Rostock,835
2014,Elsevier,German Sport University Cologne,189
2014,Non-Elsevier,Leibniz Institute for Solid State and Materials Research,1403
2014,Non-Elsevier,University Medical Center Hamburg-Eppendorf,5144
2020,Elsevier,Max Planck Society,326
2012,Elsevier,Leibniz Institute of Polymer Research,280
2012,Elsevier,Martin Luther University Halle-Wittenberg,1007
2017,Non-Elsevier,Bielefeld University,2955
2020,Non-Elsevier,University of Kassel,1806
2016,Elsevier,Leipzig University,2233
2014,Non-Elsevier,Johannes Gutenberg University of Mainz,5731
2012,Elsevier,Osnabrück University,307
2012,Elsevier,Max Planck Institute for Evolutionary Anthropology,254
2012,Elsevier,Federal Institute For Materials Research and Testing,395
2020,Non-Elsevier,Max Planck Institute for Brain Research,128
2015,Elsevier,University of Duisburg-Essen,1670
2015,Non-Elsevier,University of Hannover,2426
2015,Non-Elsevier,Institut für Arbeitsmarkt und Berufsforschung,18
2013,Non-Elsevier,University Medical Center Hamburg-Eppendorf,5048
2020,Elsevier,Otto-von-Guericke University Magdeburg,1456
2019,Non-Elsevier,Osnabrück University,1378
2016,Non-Elsevier,Institute of Plant Genetics and Crop Plant Research,557
2018,Non-Elsevier,TU Dresden,9971
2020,Non-Elsevier,Goethe University Frankfurt,7665
2013,Elsevier,Ruhr University Bochum,1722
2013,Non-Elsevier,Technical University of Berlin,3405
2013,Non-Elsevier,Max Planck Institute for Ornithology,358
2016,Non-Elsevier,Alfred Wegener Institute for Polar and Marine Research,1490
2020,Non-Elsevier,University of Bremen,3861
2015,Elsevier,Leibniz Institute for Farm Animal Biology,134
2018,Non-Elsevier,University of Stuttgart,3736
2013,Non-Elsevier,University of Regensburg,4230
2017,Elsevier,Charité - University Medicine Berlin,3656
2020,Elsevier,Leibniz Institute for Analytical Sciences - ISAS,78
2012,Non-Elsevier,Technical University of Munich,9961
