article_pubyear,publisher,institution_name,n_refs
2020,Elsevier,Max Planck Institute for Chemical Energy Conversion,129
2013,Non-Elsevier,Hochschule Aalen,61
2012,Non-Elsevier,Max Planck Institute of Experimental Medicine,488
2020,Elsevier,University of Education Weingarten,13
2014,Elsevier,Max Planck Institute for Extraterrestrial Physics,13
2015,Non-Elsevier,Neubrandenburg University of Applied Sciences,35
2012,Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,425
2012,Elsevier,Regensburg University of Applied Sciences,6
2012,Elsevier,University of Paderborn,169
2017,Non-Elsevier,Fulda University of Applied Sciences,52
2015,Elsevier,Leibniz Institute of Plant Biochemistry,158
2013,Elsevier,Museum für Naturkunde,32
2017,Elsevier,Fraunhofer Institute for Mechatronic Systems Design,8
2016,Non-Elsevier,Fraunhofer Institute for Reliability and Microintegration,67
2013,Elsevier,University of Hagen,66
2020,Elsevier,Max Planck Institute of Microstructure Physics,20
2017,Elsevier,Leibniz Research Centre for Working Environment and Human Factors,175
2014,Non-Elsevier,Fraunhofer Institute for Applied Optics and Precision Engineering,132
2016,Elsevier,Max Planck Institute for Heart and Lung Research,71
2020,Non-Elsevier,Max Planck Institute for Research on Collective Goods,32
2017,Non-Elsevier,Darmstadt University of Applied Sciences,20
2018,Non-Elsevier,Fraunhofer Institute for Transportation and Infrastructure Systems,8
2014,Non-Elsevier,Max Planck Institute for Demographic Research,74
2016,Elsevier,Museum für Naturkunde,56
2019,Elsevier,Leibniz Institute for Analytical Sciences - ISAS,80
2019,Non-Elsevier,Fraunhofer Institute for Silicate Research,132
2016,Elsevier,Fraunhofer Institute for Molecular Biology and Applied Ecology,236
2017,Elsevier,Research Center Borstel - Leibniz-Center for Medicine and Biosciences,168
2016,Elsevier,Max Planck Institute for Medical Research,52
2017,Non-Elsevier,Max Planck Institute for Mathematics,81
2013,Elsevier,Max Planck Institute of Neurobiology,103
2020,Non-Elsevier,Fraunhofer Institute for Chemical Technology,112
2020,Elsevier,Max Planck Institute for Dynamics and Self Organization,97
2020,Elsevier,Fraunhofer Institute for Laser Technology,135
2019,Elsevier,Fraunhofer Institute for Process Engineering and Packaging,79
2017,Non-Elsevier,Museum für Naturkunde,327
2013,Elsevier,Max Planck Institute for Psycholinguistics,118
2018,Elsevier,University of Bamberg,90
2013,Elsevier,Fraunhofer Institute for Machine Tools and Forming Technology,15
2015,Elsevier,Leibniz Institute for Baltic Sea Research,159
2013,Non-Elsevier,"Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut",49
2013,Non-Elsevier,Fraunhofer Institute for Digital Media Technology,41
2018,Elsevier,Fraunhofer Institute for Material Flow and Logistics,39
2018,Non-Elsevier,Fraunhofer Institute for Applied and Integrated Security,2
2017,Elsevier,Hochschule Geisenheim University,58
2012,Elsevier,TH Köln – University of Applied Sciences,5
2019,Non-Elsevier,University of Education Freiburg,77
2016,Non-Elsevier,Max Planck Institute for Astronomy,280
2018,Non-Elsevier,University of Applied Sciences Biberach,43
2017,Non-Elsevier,FH Aachen,123
2014,Elsevier,University of Applied Sciences Landshut,5
2014,Elsevier,Fraunhofer Institute for Ceramic Technologies and Systems,135
2012,Non-Elsevier,University of Passau,43
2019,Elsevier,Max Planck Institute for Ornithology,48
2013,Elsevier,Leibniz Research Centre for Working Environment and Human Factors,171
2019,Non-Elsevier,Fraunhofer Institute for Applied Optics and Precision Engineering,113
2014,Non-Elsevier,Fraunhofer Chile Research Foundation,17
2016,Elsevier,Hochschule Mittweida,9
2016,Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,13
2015,Elsevier,Catholic University of Eichstätt-Ingolstadt,61
2012,Non-Elsevier,Institute of Plant Genetics and Crop Plant Research,645
2018,Non-Elsevier,Fraunhofer Institute for Mechanics of Materials,60
2018,Elsevier,Fraunhofer Institute for Mechanics of Materials,66
2020,Elsevier,Max Planck Institute of Quantum Optics,10
2014,Non-Elsevier,Leibniz Institute for Zoo and Wildlife Research,194
2017,Non-Elsevier,Max Planck Institute for Gravitational Physics,374
2014,Non-Elsevier,Fraunhofer Institute for Electronic Nano Systems,30
2017,Non-Elsevier,Rhine-Waal University of Applied Sciences,91
2014,Non-Elsevier,Fraunhofer Institute for Industrial Mathematics,47
2013,Elsevier,Catholic University of Eichstätt-Ingolstadt,27
2018,Non-Elsevier,Max Planck Institute for Informatics,237
2014,Non-Elsevier,University of Applied Sciences Emden Leer,11
2017,Elsevier,"Fraunhofer Research Institution for Casting, Composite and Processing Technology",24
2019,Elsevier,Reutlingen University,63
2012,Elsevier,Max Planck Institute of Experimental Medicine,200
2018,Elsevier,Max Planck Institute for Informatics,28
2020,Non-Elsevier,Münster University of Applied Sciences,96
2012,Elsevier,Leuphana University of Lüneburg,192
2019,Non-Elsevier,Fraunhofer Institute for Ceramic Technologies and Systems,112
2018,Elsevier,Max Planck Institute for Metabolism Research,68
2019,Elsevier,Max Planck Institute for Biological Cybernetics,130
2013,Elsevier,Max Planck Institute for Evolutionary Biology,48
2020,Non-Elsevier,Leibniz Institute of Plant Biochemistry,241
2012,Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,21
2014,Elsevier,TU Bergakademie Freiberg,433
2019,Non-Elsevier,Heidelberg University of Education,29
2018,Non-Elsevier,Fraunhofer Institute for Process Engineering and Packaging,135
2020,Non-Elsevier,FH Aachen,101
2019,Non-Elsevier,"Fraunhofer Institute of Optronics, System Technologies and Image Exploitation",39
2018,Non-Elsevier,Max Planck Institute for Physics,284
2019,Elsevier,University of Education Freiburg,20
2013,Elsevier,Leibniz Institute for Solid State and Materials Research,326
2018,Elsevier,Fraunhofer Institute for Interfacial Engineering and Biotechnology,156
2019,Elsevier,Max Planck Institute for Solar System Research,43
2020,Elsevier,Hochschule Bremerhaven,24
2012,Non-Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,26
2013,Non-Elsevier,Catholic University of Eichstätt-Ingolstadt,54
2014,Non-Elsevier,Catholic University of Eichstätt-Ingolstadt,58
2019,Elsevier,Max Planck Institute for Extraterrestrial Physics,10
2017,Elsevier,Max Planck Institute for Chemical Energy Conversion,169
2012,Non-Elsevier,Fraunhofer Institute for Manufacturing Technology and Advanced Materials,91
2015,Non-Elsevier,University of Passau,74
2013,Non-Elsevier,Max Planck Institute for Medical Research,316
2015,Non-Elsevier,Fraunhofer Institute for Toxicology and Experimental Medicine,125
2019,Non-Elsevier,University of Applied Sciences Emden Leer,52
2016,Elsevier,Max Planck Institute for Molecular Biomedicine,95
2017,Elsevier,Mannheim University of Applied Sciences,103
2014,Non-Elsevier,University of Hagen,148
2014,Elsevier,Fraunhofer Institute for Toxicology and Experimental Medicine,34
2016,Non-Elsevier,Fraunhofer Institute for Systems and Innovation Research,50
2019,Elsevier,Leibniz Institute for Zoo and Wildlife Research,68
2015,Elsevier,Fraunhofer Institute for Technological Trend Analysis,39
2014,Elsevier,Max Planck Institute for Dynamics and Self Organization,48
2020,Non-Elsevier,Max Planck Institute for the Study of Religious and Ethnic Diversity,50
2020,Elsevier,"Fraunhofer Research Institution for Casting, Composite and Processing Technology",56
2013,Non-Elsevier,Fraunhofer Institute for Process Engineering and Packaging,101
2014,Non-Elsevier,Fraunhofer Institute for Manufacturing Engineering and Automation,33
2017,Elsevier,Fraunhofer Institute for Toxicology and Experimental Medicine,45
2015,Elsevier,University of Trier,170
2016,Non-Elsevier,Max Planck Institute for Innovation and Competition,9
2016,Non-Elsevier,Fraunhofer Institute for Applied Polymer Research,198
2019,Elsevier,Fraunhofer Institute for Chemical Technology,70
2016,Elsevier,Max Planck Institute of Biophysics,84
2015,Non-Elsevier,Max Planck Institute of Neurobiology,157
2015,Elsevier,Max Planck Institute of Neurobiology,74
2017,Elsevier,Fraunhofer Institute for Building Physics,19
2014,Non-Elsevier,Max Planck Institute for Metabolism Research,342
2020,Elsevier,Max Planck Institute for Developmental Biology,121
2016,Elsevier,Bundeswehr University Munich,99
2013,Elsevier,Fraunhofer Institute for Chemical Technology,50
2019,Non-Elsevier,Hochschule Mittweida,53
2018,Elsevier,Hochschule Mittweida,20
2017,Elsevier,Hochschule Hannover,13
2014,Elsevier,Leibniz Institute for Zoo and Wildlife Research,48
2014,Elsevier,Fraunhofer USA,5
2014,Non-Elsevier,Max Planck Institute for Evolutionary Biology,307
2016,Elsevier,Fraunhofer Institute for Applied Polymer Research,37
2014,Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,328
2020,Non-Elsevier,Max Planck Institute of Animal Behavior,230
2020,Elsevier,Fraunhofer Institute for Production Systems and Design Technology,40
2019,Non-Elsevier,Fraunhofer Institute for Systems and Innovation Research,72
2015,Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,47
2013,Elsevier,Hochschule Bremerhaven,23
2017,Non-Elsevier,Mannheim University of Applied Sciences,159
2018,Non-Elsevier,Fraunhofer Research Institution for Marine Biotechnology and Cell Technology,33
2020,Non-Elsevier,RWI – Leibniz Institute for Economic Research,54
2015,Non-Elsevier,Rhine-Waal University of Applied Sciences,49
2014,Elsevier,TH Köln – University of Applied Sciences,9
2012,Non-Elsevier,Hamburg University of Applied Sciences,34
2019,Elsevier,Max Planck Institute for Mathematics,10
2016,Elsevier,Fraunhofer Institute for Systems and Innovation Research,73
2020,Non-Elsevier,Fraunhofer Institute for Manufacturing Engineering and Automation,129
2015,Non-Elsevier,German Institute of Human Nutrition,487
2018,Elsevier,Max Planck Institute of Experimental Medicine,186
2018,Elsevier,Mannheim University of Applied Sciences,59
2014,Elsevier,Fraunhofer Institute for Manufacturing Technology and Advanced Materials,53
2014,Non-Elsevier,Hochschule Geisenheim University,25
2020,Non-Elsevier,University of Education Weingarten,45
2018,Elsevier,Hochschule Hannover,24
2018,Elsevier,Fraunhofer Institute for Nondestructive Testing,13
2014,Non-Elsevier,Fraunhofer Institute for Microstructure of Materials and Systems,6
2012,Non-Elsevier,Munich University of Applied Sciences,80
2019,Non-Elsevier,Technische Hochschule Mittelhessen,114
2020,Elsevier,Fraunhofer Institute for Applied Solid State Physics,10
2017,Non-Elsevier,Max Planck Institute for Astronomy,244
2014,Non-Elsevier,TH Köln – University of Applied Sciences,47
2018,Elsevier,Leibniz Institute for Analytical Sciences - ISAS,61
2014,Non-Elsevier,HHL Leipzig Graduate School of Management,35
2018,Non-Elsevier,Max Planck Graduate Center,305
2016,Elsevier,Fraunhofer Institute for Production Systems and Design Technology,41
2017,Non-Elsevier,Max Planck Florida Institute for Neuroscience,109
2019,Elsevier,Paul Ehrlich Institut,147
2020,Elsevier,Max Planck Institute for Infection Biology,40
2012,Elsevier,University of Siegen,142
2019,Elsevier,Helmut Schmidt University,148
2019,Non-Elsevier,Karlsruhe University of Applied Sciences,60
2020,Non-Elsevier,Max Planck Unit for the Science of Pathogens,38
2012,Elsevier,Max Planck Institute for Solar System Research,65
2018,Non-Elsevier,Fraunhofer Institute for Wind Energy Systems,83
2019,Elsevier,Georg Simon Ohm University of Applied Sciences Nuremberg,10
2020,Elsevier,Fraunhofer Institute for Ceramic Technologies and Systems,143
2019,Elsevier,Karlsruhe University of Applied Sciences,89
2017,Non-Elsevier,Fraunhofer Institute for Mechanics of Materials,67
2019,Elsevier,Fraunhofer Institute for Mechanics of Materials,45
2018,Elsevier,Max Planck Institute for Plasma Physics,121
2016,Non-Elsevier,"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",38
2015,Non-Elsevier,Fraunhofer Institute for Physical Measurement Techniques,82
2013,Non-Elsevier,Fraunhofer Institute for Microengineering and Microsystems,36
2013,Non-Elsevier,German Institute for International Educational Research,131
2016,Elsevier,German Institute of Human Nutrition,222
2015,Elsevier,Max Planck Institute for Molecular Genetics,210
2013,Non-Elsevier,Reutlingen University,40
2013,Non-Elsevier,Heidelberg University of Education,45
2012,Elsevier,Leibniz Institute for Analytical Sciences - ISAS,74
2019,Elsevier,Offenburg University of Applied Sciences,35
2013,Non-Elsevier,Max Planck Institute for Research on Collective Goods,15
2019,Elsevier,Hochschule Aalen,24
2018,Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,78
2016,Elsevier,Max Planck Institute for Ornithology,47
2018,Elsevier,Max Planck Graduate Center,17
2018,Elsevier,Max Planck Institute for Medical Research,55
2012,Elsevier,Fraunhofer Institute for Ceramic Technologies and Systems,48
2012,Elsevier,Fraunhofer Institute for Production Systems and Design Technology,9
2016,Elsevier,University of Hagen,81
2016,Elsevier,Technische Hochschule Mittelhessen,50
2019,Elsevier,Max Planck Institute for Molecular Genetics,178
2018,Non-Elsevier,Fraunhofer Institute for Microelectronic Circuits and Systems,12
2020,Elsevier,Rhine-Waal University of Applied Sciences,98
2012,Elsevier,Max Planck Institute for Chemical Ecology,176
2017,Non-Elsevier,"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",33
2014,Elsevier,Fraunhofer Institute for Material and Beam Technology,72
2019,Elsevier,Coburg University of Applied Sciences,24
2012,Elsevier,Centre For European Economic Research,47
2013,Non-Elsevier,Fraunhofer Institute for Silicon Technology,7
2020,Non-Elsevier,Stuttgart University of Applied Sciences,17
2016,Elsevier,University of Bamberg,116
2016,Non-Elsevier,Hochschule Osnabrück,69
2019,Non-Elsevier,Fraunhofer Institute for Applied Polymer Research,186
2020,Non-Elsevier,Fraunhofer Institute for Reliability and Microintegration,54
2012,Elsevier,Max Planck Institute for Extraterrestrial Physics,29
2013,Elsevier,Max Planck Institute for Dynamics of Complex Technical Systems,163
2019,Non-Elsevier,Fraunhofer Institute for High Frequency Physics and Radar Techniques,15
2016,Non-Elsevier,Furtwangen University,85
2020,Elsevier,Fraunhofer Institute for Manufacturing Technology and Advanced Materials,80
2013,Elsevier,Leibniz Institute of Ecological Urban and Regional Development,22
2020,Elsevier,Max Planck Institute for the Physics of Complex Systems,71
2014,Elsevier,Paul Ehrlich Institut,99
2015,Elsevier,Frankfurt University of Applied Sciences,15
2019,Elsevier,Catholic University of Eichstätt-Ingolstadt,64
2018,Elsevier,Leibniz Institute for Baltic Sea Research,240
2016,Non-Elsevier,Carl Maria von Weber College of Music,6
2012,Non-Elsevier,Helmut Schmidt University,126
2012,Elsevier,Max Planck Institute for Molecular Biomedicine,74
2017,Elsevier,Baden-Wuerttemberg Cooperative State University,10
2020,Elsevier,Ostbayerische Technische Hochschule Amberg Weiden,5
2020,Non-Elsevier,University of Applied Sciences Emden Leer,31
2020,Non-Elsevier,Fraunhofer Italia Research,50
2012,Elsevier,Fraunhofer Institute for Computer Graphics Research,1
2017,Non-Elsevier,Max Planck Institute for Mathematics in the Sciences,230
2013,Non-Elsevier,Max Planck Institute for Tax Law and Public Finance,5
2017,Elsevier,Karlsruhe University of Applied Sciences,67
2016,Elsevier,Fraunhofer Institute for Ceramic Technologies and Systems,60
2015,Non-Elsevier,Hamm-Lippstadt University of Applied Sciences,8
2016,Elsevier,Westsächsische Hochschule Zwickau,9
2015,Non-Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,49
2019,Elsevier,HHL Leipzig Graduate School of Management,66
2012,Non-Elsevier,Fraunhofer Institute for Computer Graphics Research,17
2018,Elsevier,Hochschule Osnabrück,26
2017,Elsevier,FH Aachen,37
2015,Non-Elsevier,Fraunhofer Institute for Digital Medicine,94
2015,Non-Elsevier,Frankfurt University of Applied Sciences,11
2016,Non-Elsevier,Fraunhofer Institute for Microstructure of Materials and Systems,44
2012,Elsevier,Max Planck Institute for Coal Research,140
2020,Non-Elsevier,Fraunhofer Institute for Computer Graphics Research,62
2018,Non-Elsevier,Fulda University of Applied Sciences,55
2017,Non-Elsevier,Hochschule Konstanz University of Applied Sciences,4
2020,Non-Elsevier,Fraunhofer Institute for Integrated Circuits,108
2016,Non-Elsevier,Catholic University of Eichstätt-Ingolstadt,116
2015,Elsevier,Max Planck Institute for Chemical Physics of Solids,67
2015,Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,5
2017,Elsevier,Max Planck Florida Institute for Neuroscience,49
2018,Elsevier,Centre For European Economic Research,51
2018,Elsevier,"Fraunhofer Institute for Communication, Information Processing and Ergonomics",1
2018,Non-Elsevier,Hochschule Osnabrück,48
2015,Elsevier,Max Planck Institute for Chemical Ecology,133
2019,Non-Elsevier,Fraunhofer Institute for Chemical Technology,68
2013,Elsevier,Max Planck Institute for Tax Law and Public Finance,5
2018,Elsevier,Furtwangen University,22
2015,Non-Elsevier,Albstadt-Sigmaringen University,16
2014,Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,201
2018,Elsevier,Max Planck Institute for Demographic Research,19
2018,Elsevier,Max Planck Institute for Dynamics of Complex Technical Systems,110
2014,Elsevier,Max Planck Institute for the Physics of Complex Systems,70
2019,Non-Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,83
2014,Elsevier,Hochschule Konstanz University of Applied Sciences,8
2016,Elsevier,University of Passau,42
2020,Elsevier,Augsburg University of Applied Sciences,68
2015,Non-Elsevier,Hamburg University of Applied Sciences,89
2020,Non-Elsevier,Fraunhofer Portugal Research,72
2018,Elsevier,Max Planck Institute of Immunobiology and Epigenetics,162
2013,Elsevier,Max Planck Institute for Nuclear Physics,213
2019,Non-Elsevier,Fraunhofer Portugal Research,48
2017,Non-Elsevier,Fraunhofer Research Institution for Marine Biotechnology and Cell Technology,42
2020,Elsevier,Zittau/Görlitz University of Applied Sciences,13
2018,Non-Elsevier,Fraunhofer Institute for Algorithms and Scientific Computing,73
2013,Elsevier,Leibniz Institute for Farm Animal Biology,158
2016,Non-Elsevier,Max Planck Institute for the Structure and Dynamics of Matter,364
2012,Elsevier,Fraunhofer Institute for Systems and Innovation Research,45
2012,Non-Elsevier,University of Education Weingarten,20
2015,Elsevier,Bremen University of Applied Sciences,29
2015,Non-Elsevier,Hochschule Bremerhaven,31
2020,Elsevier,RWI – Leibniz Institute for Economic Research,40
2016,Non-Elsevier,University of Passau,100
2012,Elsevier,Max Planck Institute for Infection Biology,127
2016,Non-Elsevier,Centre For European Economic Research,78
2020,Non-Elsevier,Augsburg University of Applied Sciences,51
2018,Elsevier,Fraunhofer Institute for Ceramic Technologies and Systems,133
2020,Non-Elsevier,Dresden University of Applied Sciences,52
2020,Non-Elsevier,Leibniz Institute of Ecological Urban and Regional Development,89
2012,Elsevier,Max Planck Institute for Chemical Energy Conversion,42
2014,Non-Elsevier,Centre For European Economic Research,62
2018,Elsevier,Max Planck Institute of Colloids and Interfaces,162
2018,Non-Elsevier,Fraunhofer Institute for Ceramic Technologies and Systems,194
2019,Elsevier,Bernhard Nocht Institute for Tropical Medicine,106
2016,Elsevier,Max Planck Institute of Molecular Plant Physiology,82
2016,Non-Elsevier,FH Aachen,74
2020,Non-Elsevier,Frankfurt University of Applied Sciences,35
2013,Non-Elsevier,FH Aachen,51
2014,Non-Elsevier,Max Planck Institute for Brain Research,250
2018,Non-Elsevier,"Fraunhofer Research Institution for Casting, Composite and Processing Technology",41
2018,Non-Elsevier,hsg Bochum - University of Applied Sciences,5
2016,Elsevier,Fachhochschule Kiel,11
2013,Elsevier,Fraunhofer Institute for Biomedical Engineering,50
2015,Non-Elsevier,Fraunhofer Institute for Silicate Research,39
2017,Elsevier,Fraunhofer Institute for Mechanics of Materials,72
2018,Elsevier,Fraunhofer Institute for Toxicology and Experimental Medicine,50
2018,Elsevier,Reutlingen University,47
2013,Non-Elsevier,"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",13
2020,Non-Elsevier,"Fraunhofer Institute for Communication, Information Processing and Ergonomics",13
2015,Non-Elsevier,Westsächsische Hochschule Zwickau,24
2018,Elsevier,Max Planck Institute for Solar System Research,42
2016,Elsevier,Centre For European Economic Research,56
2017,Elsevier,Ilmenau University of Technology,207
2014,Non-Elsevier,Leibniz Institute for Farm Animal Biology,201
2017,Non-Elsevier,Technische Hochschule Mittelhessen,103
2014,Elsevier,Max Planck Institute for Brain Research,89
2012,Non-Elsevier,Fraunhofer Institute for Systems and Innovation Research,48
2016,Non-Elsevier,Regensburg University of Applied Sciences,46
2013,Non-Elsevier,University of Hagen,112
2014,Elsevier,Fraunhofer Institute for Applied Optics and Precision Engineering,20
2018,Non-Elsevier,Fraunhofer Institute for Biomedical Engineering,44
2013,Non-Elsevier,Westsächsische Hochschule Zwickau,10
2012,Elsevier,Max Planck Institute for Biogeochemistry,47
2017,Non-Elsevier,Stuttgart Media University,14
2020,Elsevier,"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",55
2016,Elsevier,Fraunhofer Institute for Toxicology and Experimental Medicine,28
2012,Non-Elsevier,Max Planck Unit for Structural Molecular Biology,26
2014,Non-Elsevier,Max Planck Institute of Microstructure Physics,527
2015,Elsevier,Research Center Borstel - Leibniz-Center for Medicine and Biosciences,97
2013,Non-Elsevier,Fraunhofer Institute for Material and Beam Technology,140
2013,Elsevier,Fraunhofer Institute for Structural Durability and System Reliability,52
2018,Elsevier,Max Planck Institute for Infection Biology,151
2016,Non-Elsevier,Fraunhofer Institute for Toxicology and Experimental Medicine,56
2016,Elsevier,Reutlingen University,41
2015,Non-Elsevier,Technische Hochschule Ingolstadt,5
2017,Elsevier,Leibniz Institute of Ecological Urban and Regional Development,36
2018,Elsevier,University of Applied Sciences Landshut,14
2013,Elsevier,Fraunhofer Institute for Computer Graphics Research,9
2019,Non-Elsevier,Fraunhofer Institute for Machine Tools and Forming Technology,74
2017,Non-Elsevier,Hochschule Hannover,51
2017,Non-Elsevier,Fachhochschule Bielefeld,53
2019,Elsevier,Fraunhofer Institute for Solar Energy Systems,168
2015,Elsevier,Max Planck Institute for Gravitational Physics,42
2012,Elsevier,Max Planck Institute for Chemical Physics of Solids,50
2016,Elsevier,Regensburg University of Applied Sciences,10
2017,Non-Elsevier,Fraunhofer Institute for Building Physics,5
2015,Elsevier,Fraunhofer Institute for Production Systems and Design Technology,26
2013,Non-Elsevier,Fraunhofer Institute for Integrated Circuits,43
2017,Elsevier,TH Köln – University of Applied Sciences,92
2020,Elsevier,TH Köln – University of Applied Sciences,85
2016,Non-Elsevier,"Fraunhofer Institute for Environmental, Safety, and Energy Technology",28
2013,Elsevier,Fraunhofer Institute for Physical Measurement Techniques,6
2017,Elsevier,Max Planck Institute for Solar System Research,30
2018,Elsevier,University of Passau,70
2013,Non-Elsevier,Fraunhofer Institute for Computer Graphics Research,22
2015,Non-Elsevier,Max Planck Institute for Empirical Aesthetics,94
2016,Non-Elsevier,Technische Hochschule Mittelhessen,86
2012,Elsevier,Max Planck Unit for Structural Molecular Biology,18
2019,Non-Elsevier,TH Köln – University of Applied Sciences,177
2012,Non-Elsevier,Fraunhofer Institute for Surface Engineering and Thin Films,28
2020,Non-Elsevier,University of Applied Sciences Ravensburg-Weingarten,70
2017,Non-Elsevier,Leibniz Institute of Agricultural Development in Transition Economies,86
2016,Elsevier,Bonn-Rhein-Sieg University of Applied Sciences,15
2020,Elsevier,Dresden University of Applied Sciences,30
2017,Elsevier,Hochschule Aalen,26
2017,Non-Elsevier,Hamburg University of Applied Sciences,141
2020,Elsevier,University of Applied Sciences Ravensburg-Weingarten,70
2015,Elsevier,Fraunhofer Institute for Toxicology and Experimental Medicine,45
2017,Elsevier,Institut für Arbeitsmarkt und Berufsforschung,3
2019,Non-Elsevier,Heilbronn University,40
2014,Elsevier,Max Planck Institute for Biological Cybernetics,132
2012,Elsevier,Max Planck Institute for Terrestrial Microbiology,142
2018,Elsevier,Max Planck Institute for Brain Research,52
2012,Non-Elsevier,Fraunhofer Institute for Electronic Nano Systems,68
2012,Elsevier,Furtwangen University,19
2014,Elsevier,Bernhard Nocht Institute for Tropical Medicine,54
2020,Non-Elsevier,Fraunhofer Institute for Applied Optics and Precision Engineering,67
2014,Non-Elsevier,Fraunhofer Institute for Microengineering and Microsystems,170
2018,Non-Elsevier,Leibniz Institute of Agricultural Development in Transition Economies,74
2018,Non-Elsevier,Max Planck Institute for Mathematics in the Sciences,134
2017,Non-Elsevier,Bremen University of Applied Sciences,48
2020,Elsevier,Max Planck Institute for Innovation and Competition,15
2017,Non-Elsevier,Bonn-Rhein-Sieg University of Applied Sciences,32
2015,Elsevier,Hochschule Aalen,30
2015,Elsevier,Max Planck Institute for Nuclear Physics,113
2013,Elsevier,Fraunhofer Institute for Production Technology,8
2016,Non-Elsevier,Bundeswehr University Munich,224
2019,Elsevier,"Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut",21
2019,Elsevier,Max Planck Institute for Informatics,47
2020,Elsevier,"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",12
2015,Elsevier,Fraunhofer USA,3
2014,Non-Elsevier,University of Applied Sciences Landshut,7
2018,Elsevier,Max Planck Institute for Molecular Genetics,103
2016,Elsevier,Fulda University of Applied Sciences,38
2018,Elsevier,Munich University of Applied Sciences,15
2017,Non-Elsevier,Munich University of Applied Sciences,77
2013,Elsevier,Kühne Logistics University,14
2016,Non-Elsevier,Max Planck Institute for Meteorology,385
2019,Non-Elsevier,"Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut",68
2018,Elsevier,Max Planck Institute for Radio Astronomy,4
2018,Elsevier,Max Planck Institute for Ornithology,72
2019,Elsevier,Max Planck Institute for Meteorology,26
2015,Non-Elsevier,Fraunhofer Institute for Laser Technology,56
2012,Elsevier,Fraunhofer Institute for Chemical Technology,26
2017,Elsevier,Max Planck Institute for Physics,50
2020,Non-Elsevier,Max Planck Institute for Informatics,189
2014,Non-Elsevier,Max Planck Institute for Mathematics,27
2015,Elsevier,Max Planck Institute of Microstructure Physics,56
2018,Non-Elsevier,Max Planck Institute for Chemical Ecology,451
2015,Elsevier,Max Planck Institute for Mathematics,11
2018,Non-Elsevier,Fraunhofer Institute for Integrated Circuits,65
2016,Elsevier,Max Planck Institute for Research on Collective Goods,36
2015,Elsevier,Fraunhofer Institute for Structural Durability and System Reliability,27
2012,Elsevier,Münster University of Applied Sciences,17
2020,Non-Elsevier,"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",23
2020,Elsevier,Stuttgart Media University,8
2017,Elsevier,German Rheumatism Research Centre,87
2020,Non-Elsevier,Max Planck Institute for Innovation and Competition,33
2013,Elsevier,Fraunhofer Institute for Material and Beam Technology,82
2012,Elsevier,FH Aachen,29
2017,Elsevier,Julius Kühn-Institut,83
2017,Elsevier,Max Planck Institute for Evolutionary Biology,94
2017,Elsevier,Munich University of Applied Sciences,33
2019,Elsevier,Max Planck Institute for Coal Research,54
2014,Elsevier,Fraunhofer Institute for Manufacturing Engineering and Automation,29
2019,Non-Elsevier,Fraunhofer Center for International Management and Knowledge Economy,4
2012,Elsevier,Fraunhofer Institute for Process Engineering and Packaging,21
2020,Non-Elsevier,Max Planck Computing and Data Facility,94
2020,Elsevier,Max Planck Institute for Solar System Research,22
2020,Non-Elsevier,Max Planck Institute for Mathematics,64
2014,Non-Elsevier,Fraunhofer Institute for Machine Tools and Forming Technology,33
2019,Elsevier,Fraunhofer Institute for Electronic Nano Systems,33
2018,Elsevier,Hochschule Ulm,31
2019,Elsevier,Fraunhofer Institute for Algorithms and Scientific Computing,6
2016,Non-Elsevier,Technische Hochschule Ingolstadt,23
2015,Elsevier,Fraunhofer Institute for Physical Measurement Techniques,17
2017,Non-Elsevier,Esslingen University of Applied Sciences,63
2013,Elsevier,Neubrandenburg University of Applied Sciences,6
2020,Elsevier,Fraunhofer Institute for Toxicology and Experimental Medicine,56
2018,Elsevier,Dresden University of Applied Sciences,34
2015,Elsevier,Max Planck Institute for Empirical Aesthetics,67
2017,Elsevier,Bundeswehr University Munich,71
2013,Elsevier,Offenburg University of Applied Sciences,34
2013,Elsevier,Halle Institute for Economic Research,9
2016,Non-Elsevier,Max Planck Institute for Infection Biology,322
